RunNumber,BeamEnergy,Threshold,GearGeoFile
#R0H0,Bottom Edge
000001,5.6,40,gear_before_run1.xml 
#000001,5.6,40,alignedGear-iter2-run000001-APIX-try1.xml 

000002,5.6,40,gear_before_run2.xml 
#000002,5.6,40,alignedGear-iter2-run000002-APIX-try1.xml 

000004,5.6,40,gear_before_run1.xml 


000022,5.6,40,gear_before.xml 

000120,5.6,40,gear_before.xml 
000121,5.6,40,gear_before.xml 
#125126,5.6,40,gear_before_pre_pre.xml 
#125126,5.6,40,alignedGear-iter2-run125126-APIX-try1.xml 
125126,5.6,40,gear_before_pre.xml 

125127,4.4,40,gear_J1_A_No5_pre_pre.xml 
000123,4.4,40,gear_J1_A_No5_pre_pre.xml 
#125127,4.4,40,alignedGear-iter3-run125127-APIX-try2.xml 
#122127,4.4,40,gear_J1_A_No5_pre_pre.xml 
122127,4.4,40,alignedGear-iter5-run122127-APIX-try3.xml 

#125127,4.4,40,gear_before_pre_pre.xml 
#125127,4.4,40,alignedGear-iter4-run125127-APIX-try1.xml 


